img_path,label
cnn_data\malignant\malignant (52).png,1
cnn_data\malignant\malignant (45).png,1
cnn_data\malignant\malignant (195).png,1
cnn_data\malignant\malignant (97).png,1
cnn_data\malignant\malignant (144).png,1
cnn_data\benign\benign (29).png,0
cnn_data\benign\benign (55).png,0
cnn_data\malignant\malignant (180).png,1
cnn_data\benign\benign (319).png,0
cnn_data\malignant\malignant (40).png,1
cnn_data\benign\benign (430).png,0
cnn_data\malignant\malignant (87).png,1
cnn_data\normal\normal (69).png,2
cnn_data\normal\normal (92).png,2
cnn_data\normal\normal (87).png,2
cnn_data\benign\benign (239).png,0
cnn_data\malignant\malignant (168).png,1
cnn_data\benign\benign (16).png,0
cnn_data\benign\benign (352).png,0
cnn_data\benign\benign (198).png,0
cnn_data\benign\benign (159).png,0
cnn_data\benign\benign (272).png,0
cnn_data\benign\benign (17).png,0
cnn_data\malignant\malignant (17).png,1
cnn_data\benign\benign (12).png,0
cnn_data\malignant\malignant (4).png,1
cnn_data\normal\normal (31).png,2
cnn_data\malignant\malignant (104).png,1
cnn_data\benign\benign (7).png,0
cnn_data\benign\benign (134).png,0
cnn_data\malignant\malignant (123).png,1
cnn_data\benign\benign (177).png,0
cnn_data\benign\benign (222).png,0
cnn_data\malignant\malignant (64).png,1
cnn_data\normal\normal (94).png,2
cnn_data\benign\benign (366).png,0
cnn_data\normal\normal (53).png,2
cnn_data\malignant\malignant (167).png,1
cnn_data\benign\benign (399).png,0
cnn_data\malignant\malignant (202).png,1
cnn_data\benign\benign (405).png,0
cnn_data\normal\normal (96).png,2
cnn_data\benign\benign (205).png,0
cnn_data\normal\normal (10).png,2
cnn_data\benign\benign (293).png,0
cnn_data\normal\normal (95).png,2
cnn_data\benign\benign (414).png,0
cnn_data\benign\benign (70).png,0
cnn_data\benign\benign (169).png,0
cnn_data\normal\normal (15).png,2
cnn_data\malignant\malignant (129).png,1
cnn_data\normal\normal (127).png,2
cnn_data\benign\benign (143).png,0
cnn_data\normal\normal (103).png,2
cnn_data\benign\benign (283).png,0
cnn_data\benign\benign (400).png,0
cnn_data\benign\benign (437).png,0
cnn_data\malignant\malignant (63).png,1
cnn_data\normal\normal (56).png,2
cnn_data\malignant\malignant (41).png,1
cnn_data\benign\benign (357).png,0
cnn_data\benign\benign (126).png,0
cnn_data\normal\normal (108).png,2
cnn_data\benign\benign (129).png,0
cnn_data\benign\benign (127).png,0
cnn_data\malignant\malignant (157).png,1
cnn_data\benign\benign (333).png,0
cnn_data\benign\benign (38).png,0
cnn_data\malignant\malignant (137).png,1
cnn_data\malignant\malignant (67).png,1
cnn_data\benign\benign (321).png,0
cnn_data\normal\normal (122).png,2
