img_path,label
Dataset_BUSI_with_GT\malignant\malignant (102).png,1
Dataset_BUSI_with_GT\normal\normal (10).png,2
Dataset_BUSI_with_GT\benign\benign (1).png,0
Dataset_BUSI_with_GT\normal\normal (101).png,2
Dataset_BUSI_with_GT\malignant\malignant (1).png,1
Dataset_BUSI_with_GT\malignant\malignant (101).png,1
Dataset_BUSI_with_GT\benign\benign (100).png,0
Dataset_BUSI_with_GT\benign\benign (10).png,0
Dataset_BUSI_with_GT\normal\normal (102).png,2
Dataset_BUSI_with_GT\benign\benign (102).png,0
Dataset_BUSI_with_GT\malignant\malignant (100).png,1
Dataset_BUSI_with_GT\normal\normal (1).png,2
Dataset_BUSI_with_GT\normal\normal (100).png,2
Dataset_BUSI_with_GT\benign\benign (101).png,0
Dataset_BUSI_with_GT\malignant\malignant (10).png,1
